Name,Number,Type 1,Type 2,HP,Attack,Defense,SP Attack,SP Defense,Speed,Total
Bulbasaur,001,Grass,Poison,45,49,49,65,65,45,318
Charizard,006,Fire,Flying,78,84,78,109,85,100,534
Charmeleon,005,Fire,,58,64,58,80,65,80,405
Metapod,011,Bug,,50,20,55,25,25,30,205
Caterpie,010,Bug,,45,30,35,20,20,45,195
Blastoise,009,Water,,79,83,100,85,105,78,530
Squirtle,007,Water,,44,48,65,50,64,43,314
Wartortle,008,Water,,59,63,80,65,80,58,405
Weedle,013,Bug,Poison,40,35,30,20,20,50,195
Butterfree,012,Bug,Flying,60,45,50,90,80,70,395
Charmander,004,Fire,,39,52,43,60,50,65,309
Venusaur,003,Grass,Poison,80,82,83,100,100,80,525
Ivysaur,002,Grass,Poison,60,62,63,80,80,60,405
Ekans,023,Poison,,35,60,44,40,54,55,288
Fearow,022,Normal,Flying,65,90,65,61,61,100,442
Raticate,020,Normal,,55,81,60,50,70,97,413
Geodude,074,Rock,Ground,40,80,100,30,30,20,300
Spearow,021,Normal,Flying,40,60,30,31,31,70,262
Azumarill,184,Water,Fairy,100,50,80,60,80,50,420
Marill,183,Water,Fairy,70,20,50,20,50,40,250
Sudowoodo,185,Rock,,70,100,115,30,65,30,410
Unown,201,Psychic,,48,72,48,72,48,48,336
Misdreavus,200,Ghost,,60,60,60,85,85,85,435
Slowking,199,Water,Psychic,95,75,80,100,110,30,490
Murkrow,198,Dark,Flying,60,85,42,85,42,91,405
Umbreon,197,Dark,,95,65,110,60,130,65,525
Scizor,212,Bug,Steel,70,130,100,55,80,65,500
Qwilfish,211,Water,Poison,65,95,85,55,55,85,440
Houndour,228,Dark,Fire,45,60,30,80,50,65,330
Skarmory,227,Steel,Flying,65,80,140,40,70,70,465
Mantine,226,Water,Flying,85,40,70,80,140,70,485
Delibird,225,Ice,Flying,45,55,45,65,45,75,330
Granbull,210,Fairy,,90,120,75,60,60,45,450
Raikou,243,Electric,,90,85,75,115,100,115,580
Blissey,242,Normal,,255,10,10,75,135,55,540
Miltank,241,Normal,,95,80,105,40,70,100,490
Blaziken,257,Fire,Fighting,80,120,70,110,70,80,530
Combusken,256,Fire,Fighting,60,85,60,85,60,55,405
Torchic,255,Fire,,45,60,40,70,50,45,310
Sceptile,254,Grass,,70,85,65,105,85,120,530
Grovyle,253,Grass,,50,65,45,85,65,95,405
Lombre,271,Water,Grass,60,50,50,60,70,50,340
Lotad,270,Water,Grass,40,30,30,40,50,30,220
Dustox,269,Bug,Poison,60,50,70,50,90,65,385
Slaking,289,Normal,,150,160,100,95,65,100,670
Vigoroth,288,Normal,,80,80,80,55,55,90,440
Slakoth,287,Normal,,60,60,60,35,35,30,280
Breloom,286,Grass,Fighting,60,130,80,60,60,70,460
Delcatty,301,Normal,,70,65,65,55,55,90,400
Skitty,300,Normal,,50,45,45,35,35,50,260
Nosepass,299,Rock,,30,45,135,45,90,30,375
Azurill,298,Normal,Fairy,50,20,40,20,40,20,190
Illumise,314,Bug,,65,47,75,73,85,85,430
Volbeat,313,Bug,,65,73,75,47,85,85,430
Minun,312,Electric,,60,40,50,75,85,95,405
Plusle,311,Electric,,60,50,40,85,75,95,405
Flygon,330,Ground,Dragon,80,100,80,80,80,100,520
Vibrava,329,Ground,Dragon,50,70,50,50,50,70,340
Claydol,344,Ground,Psychic,60,70,105,70,120,75,500
Baltoy,343,Ground,Psychic,40,40,55,40,70,55,300
Trapinch,328,Ground,,45,100,45,45,45,10,290
Spinda,327,Normal,,60,60,60,60,60,60,360
Crawdaunt,342,Water,Dark,63,120,85,90,55,55,468
Corphish,341,Water,,43,80,65,50,35,35,308
Wynaut,360,Psychic,,95,23,48,23,48,23,260
Absol,359,Dark,,65,130,60,75,60,75,465
Chimecho,358,Psychic,,75,50,80,95,90,65,455
Tropius,357,Grass,Flying,99,68,83,72,87,51,460
Regice,378,Ice,,80,50,100,100,200,50,580
